observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,prediction_plot,prediction_sigma_plot
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,2,9.25,-2.24,0.039487599867068804,-2.0534233242963196,0.09442088519899576
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,3,9.5,-2.29,0.048985169877665526,-2.202122984376516,0.10745187098661177
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,4,9.75,-2.48,0.0510303444782522,-2.3601754316087433,0.1343117124532315
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,5,10.0,-2.59,0.04758057141795755,-2.4999755554435312,0.1717068521925928
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,6,10.25,-2.73,0.05422430948896547,-2.6032635953538317,0.22540682809061702
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,7,10.5,-2.64,0.03767295898922773,-2.628046365719638,0.268030167071179
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,8,10.75,-2.7199999999999998,0.04292670823333299,-2.6289572064451523,0.296775708279256
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,9,11.0,-3.01,0.05139680935005372,-2.8981633526576056,0.317820694211815
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,10,11.25,-3.62,0.06979838494741979,-3.7307175612241683,0.32994272440916467
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,0,7.176091259055681,-1.2548312112854956,0.130493336169754,-1.44970321792184,0.11076764611776796
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,1,7.301029995663981,-1.6000789981649997,0.11941405989069884,-1.4322702858818284,0.10485610213411584
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,2,7.414973347970818,-1.3525196308193832,0.0551227713848271,-1.420121958753517,0.09720350997908564
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,3,7.544068044350276,-1.3065392744797073,0.03816103744721452,-1.4136823780114827,0.09175589172562988
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,4,7.672097857935717,-1.3143671899501175,0.03204927461666128,-1.4142419755810711,0.08950312778077599
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,5,7.799340549453582,-1.3502289006582016,0.027102806906128974,-1.4211519185378956,0.08909558870719872
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,6,7.924279286061882,-1.4306079042053748,0.03231670600148942,-1.4327538778546225,0.09067415658403502
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,7,8.049218022670182,-1.3628186867612504,0.019898918921290486,-1.448564045591766,0.09357512331214912
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,8,8.173186268412275,-1.4646271911470679,0.018189123881309423,-1.4700735231298652,0.09800981262245469
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,9,8.298853076409706,-1.5094819941361866,0.01564326332076906,-1.5004860042944586,0.10459899588565268
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,10,8.426511261364576,-1.5542100316265455,0.014438267299703886,-1.5427582720510946,0.11222127144562603
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,11,8.551449997972876,-1.6191670187810951,0.012981402409830861,-1.5988432069434033,0.12082284701044997
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,12,8.677606952720494,-1.7167745098035025,0.012241718033736854,-1.6706915970199598,0.13217958583909467
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,13,8.803457115648413,-1.7776859816020187,0.011148050460116592,-1.7610432470759685,0.14821826172274857
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,14,8.929418925714293,-1.8865052073171946,0.010780359479867954,-1.8722846236038864,0.16984476311259367
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,15,9.046495164334708,-1.9838967532295593,0.010792319053286932,-2.010046645709773,0.19832122082587203
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,16,9.181271771559462,-2.1454430580455623,0.012160804610744418,-2.1849568230572163,0.23692307281824285
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,17,9.307067950661299,-2.3118583555290706,0.014353453131835519,-2.3980677415344016,0.2849129182481016
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,18,9.433129517580486,-2.5461173537048523,0.01828608344855797,-2.643250569718655,0.3410813302586065
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,19,9.55894844597804,-2.7685525915695606,0.024649146270184562,-2.9247910235768537,0.4033433001105257
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,20,9.684755622108623,-3.124566711232598,0.03730136654383758,-3.224350144710292,0.4588970623152876
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,21,9.810635700275537,-3.470466976552361,0.05022453192078422,-3.5292956453706354,0.5185152625633834
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,22,9.936513742478894,-3.947588231272023,0.12408413768664336,-3.8207476309548265,0.5830667804233293
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,23,10.062356318085438,-5.035724319972574,0.43429448190325176,-4.162051812017422,0.6671565612167747
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,24,10.314099063295284,-4.792686271286279,0.43429448190325176,-4.656850125487043,0.7430683113158374
size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,0,9.25,0.4900000000000002,0.009999999999999997,0.647167007993533,0.06594395846886736
size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,1,9.75,0.6099999999999999,0.009999999999999998,0.6803478790929738,0.05462973879875392
size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,2,10.25,0.6600000000000001,0.009999999999999998,0.6529481233561656,0.05035257266875141
size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,3,10.75,0.8300000000000001,0.01,0.6752267517779242,0.061012414186314236
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,0,9.25,0.27,0.009999999999999997,0.3949463970056373,0.07347388785899779
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,1,9.75,0.28000000000000025,0.009999999999999998,0.377974588434034,0.06207820981424292
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,2,10.25,0.3799999999999999,0.009999999999999998,0.41545107195497133,0.056367359684157084
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,3,10.75,0.6699999999999999,0.009999999999999998,0.7185269425422955,0.06747926497590769
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,4,11.25,0.7599999999999998,0.009999999999999998,0.8274106437262576,0.09048166497429103
