posterior_label,observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,posterior_prediction_lower,posterior_prediction_median,posterior_prediction_upper
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,18,9.433129517580486,-2.5461173537048523,0.01828608344855797,-2.5528633680800987,-2.3423481001043953,-2.14003198393026
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,19,9.55894844597804,-2.7685525915695606,0.024649146270184562,-2.704769666322788,-2.462108294991385,-2.225167496730611
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,20,9.684755622108623,-3.124566711232598,0.03730136654383758,-2.8722828976269996,-2.6028255607578696,-2.337411383707502
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,21,9.810635700275537,-3.470466976552361,0.05022453192078422,-3.0377955517288675,-2.7505012154786943,-2.457198123771453
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,22,9.936513742478894,-3.947588231272023,0.12408413768664336,-3.20187953606211,-2.9001343843655603,-2.585130802186515
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,23,10.062356318085438,-5.035724319972574,0.43429448190325176,-3.4389811249461784,-3.1471087498808497,-2.8297934469262795
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,24,10.314099063295284,-4.792686271286279,0.43429448190325176,-3.951755823341145,-3.6920352225171205,-3.412433984661303
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,0,8.0,-1.37,0.03388554953347397,-1.6389758593144899,-1.599387034548477,-1.5491467607886948
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,1,8.25,-1.53,0.02764091299016487,-1.6541425149252835,-1.624962546031245,-1.5854474245835863
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,2,8.5,-1.71,0.03257053716126054,-1.6787264425886024,-1.651618457038795,-1.616362631173673
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,3,8.75,-1.8599999999999999,0.03875116762355399,-1.7063204098245162,-1.6719028031396552,-1.6348492127728995
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,4,9.0,-2.03,0.07310630328559199,-1.759596548897286,-1.714223567874143,-1.6692303313684393
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,5,9.25,-2.01,0.11430786925422912,-1.8505440883416409,-1.801138775177346,-1.749871965934956
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,6,9.5,-2.1,0.13425025335825852,-1.999563987076915,-1.9470153274814574,-1.8885886227816746
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,7,9.75,-2.17,0.12870137534632478,-2.210944537340045,-2.137076485941641,-2.062023774111307
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,8,10.0,-2.24,0.1151563350336599,-2.4799333302937048,-2.3625432800934423,-2.263476171847624
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,9,10.25,-2.31,0.09505799913247222,-2.838150259835938,-2.6632068156576123,-2.5061332078527996
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,10,10.5,-2.41,0.08563784812230946,-3.3314980136995382,-3.07745612499908,-2.8428370592014636
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,11,10.75,-2.5300000000000002,0.08801978149982136,-4.056546573329055,-3.689767191423439,-3.35373356589395
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,12,11.0,-2.91,0.08999910563249144,-5.0899039469050855,-4.553141412109698,-4.055942425730382
SFRF,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,13,11.25,-3.46,0.09992050649589666,-6.135676393499573,-5.534626516685387,-4.880725931683234
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,0,8.75,-1.9899999999999998,0.035241959302866804,-1.7159708326692702,-1.6569869819862555,-1.6042703705769523
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,1,9.0,-2.14,0.038005862162430896,-1.836216436477892,-1.7668316841260021,-1.7031750992867885
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,2,9.25,-2.24,0.039487599867068804,-2.009354229335666,-1.9262314674963603,-1.8482046221275612
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,3,9.5,-2.29,0.048985169877665526,-2.240802889777866,-2.131852416197602,-2.0242294097985556
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,4,9.75,-2.48,0.0510303444782522,-2.5413006330706778,-2.3913454981049993,-2.234956378720679
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,5,10.0,-2.59,0.04758057141795755,-2.8908981188117404,-2.6919001654482417,-2.4749748772866993
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,6,10.25,-2.73,0.05422430948896547,-3.4440982919571224,-3.163591222113592,-2.856943837780362
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,7,10.5,-2.64,0.03767295898922773,-4.160585183766863,-3.7488414725739494,-3.363760067335472
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,8,10.75,-2.7199999999999998,0.04292670823333299,-5.11856313243716,-4.558023818663289,-4.061491166746715
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,9,11.0,-3.01,0.05139680935005372,-6.0866791223104855,-5.512833217502116,-4.919075620389786
SFRF,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,10,11.25,-3.62,0.06979838494741979,-6.6777385144233845,-6.28501987880888,-5.730878521776492
