observable_key,method,subset_size,bin_index,x_plot,n_train_mean,n_test_total,pca_components_mean,pca_explained_variance_mean,n_valid,rmse,bias,r2,normalized_rmse,coverage_1sigma
smf_z0,pca_0p9,512,7,9.75,409.59765625,512,3.0,0.9332767182910111,512,0.17881581899591847,0.002742993866989868,0.8869127535738414,2.1250337655882947,0.42578125
smf_z0,pca_0p9,512,8,10.0,409.59765625,512,3.0,0.9332767182910111,512,0.23851534845742614,0.0032779191879383817,0.8683098362615335,2.337139185002257,0.38671875
smf_z0,pca_0p9,512,9,10.25,409.59765625,512,3.0,0.9332767182910111,512,0.3046848537037337,0.0037165807940091776,0.8609221277191109,2.1308113571233878,0.4296875
smf_z0,pca_0p9,512,10,10.5,409.59765625,512,3.0,0.9332767182910111,512,0.38670266983106655,0.004085176418402637,0.8540893881657572,1.8861181822339739,0.49609375
smf_z0,pca_0p9,512,11,10.75,409.59765625,512,3.0,0.9332767182910111,512,0.4847892098981711,0.005397340176728641,0.8398479384337042,1.740208336444296,0.474609375
smf_z0,pca_0p9,512,12,11.0,409.59765625,512,3.0,0.9332767182910111,512,0.597644773663628,0.005927936341597179,0.7972694586120564,1.8395250185668748,0.41796875
smf_z0,pca_0p9,512,13,11.25,409.59765625,512,3.0,0.9332767182910111,512,0.7222970745621116,0.004083648558571969,0.6959745728853222,2.384778591920751,0.3359375
smf_z0,pca_0p9,1024,0,8.0,819.19921875,1024,3.0,0.933681814583099,1024,0.10139638160184837,0.0023063010184201215,0.840769449270427,1.2052934677779132,0.7255859375
smf_z0,pca_0p9,1024,1,8.25,819.19921875,1024,3.0,0.933681814583099,1024,0.0707975334941415,0.0010818764941617352,0.794472908422661,1.4631634289371147,0.6591796875
smf_z0,pca_0p9,1024,2,8.5,819.19921875,1024,3.0,0.933681814583099,1024,0.05652478035996975,-2.714359656309025e-05,0.8753579126726543,1.7772558141269683,0.4560546875
smf_z0,pca_0p9,1024,3,8.75,819.19921875,1024,3.0,0.933681814583099,1024,0.057415762781291825,-0.0005609857043715287,0.9218274915140099,1.4491930756136424,0.5595703125
smf_z0,pca_0p9,1024,4,9.0,819.19921875,1024,3.0,0.933681814583099,1024,0.06856515643280858,-0.0005265995311182347,0.9338756021422041,1.3484745219008063,0.6259765625
smf_z0,pca_0p9,1024,5,9.25,819.19921875,1024,3.0,0.933681814583099,1024,0.08054741864612053,-0.0002154283111124129,0.9440407307548825,1.3477322978788542,0.6357421875
