target_redshift,redshift,output_name,mode_criterion,lambda_threshold,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,10,10.4,10.2,0.0264871404387,0.0232417405877,0.0301726012221,2151.94506033,56.9988710294,0.00165726023912,4.38960846971e-05,2152,57,False
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,10.4,10.8,10.6,0.0205883535053,0.0169630520612,0.0249722758399,1263.96919732,26.0230446543,0.000973336596733,2.00393979332e-05,1264,26,False
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,10.8,11.2,11,0.0346598422287,0.0273241642968,0.0438901780711,490.987229198,17.0175399003,0.000378142628823,1.3106363855e-05,491,17,False
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,11.2,11.6,11.4,0.0327692557792,0.0169069090235,0.0638808597222,60.9991300761,1.99889609577,4.69921690232e-05,1.53989840634e-06,61,2,False
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,10,10.4,10.2,0.0706674322455,0.0653414517438,0.0763923503888,2151.94506033,152.072431747,0.00165726023912,0.000117114325661,2152,152,False
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,10.4,10.8,10.6,0.0823368809117,0.0749339244107,0.0904004703733,1263.96919732,104.071281276,0.000973336596733,8.01414994523e-05,1264,104,False
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,10.8,11.2,11,0.130375962273,0.115934992601,0.146320945458,490.987229198,64.0129324704,0.000378142628823,4.93007091092e-05,491,64,False
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,11.2,11.6,11.4,0.278739686895,0.225313490314,0.339350940713,60.9991300761,17.0028784183,4.69921690232e-05,1.309858248e-05,61,17,False
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,10,10.4,10.2,0.00253540204762,0.00188117216475,0.00341909725188,4340.8882819,11.0058970384,0.00334299004806,8.47582381304e-06,4341,11,False
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,10.4,10.8,10.6,0.00314230801057,0.00221662539914,0.00445951661703,2541.93685785,7.9875485508,0.00195751431059,6.15111289897e-06,2542,8,False
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,10.8,11.2,11,0.00202101614519,0.00103855528213,0.00401713337649,987.974147315,1.99671170276,0.000760874828084,1.53774031203e-06,988,2,False
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,11.2,11.6,11.4,0,0.000148122444055,0.00731882896542,134.997794,0,0.000104005480268,0,135,0,True
