target_redshift,redshift,output_name,mode_criterion,lambda_threshold,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
0.1,0.1,Output18,inclusive,0.001,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,inclusive,0.001,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,inclusive,0.001,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,10,10.4,10.2,0.00790925217873,0.0062197949204,0.0100563082806,2151.94506033,17.0202761569,0.00165726023912,1.3107689157e-05,2152,17,False
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,10.4,10.8,10.6,0.00871707525208,0.00647305983245,0.0117390744882,1263.96919732,11.0181146094,0.000973336596733,8.48464835932e-06,1264,11,False
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,10.8,11.2,11,0.0102014201766,0.00659605430691,0.0158048318254,490.987229198,5.00876702641,0.000378142628823,3.85759184332e-06,491,5,False
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,11.2,11.6,11.4,0.0163742701649,0.00682941520664,0.0417613817349,60.9991300761,0.998816235688,4.69921690232e-05,7.69462471219e-07,61,1,False
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,10,10.4,10.2,0.0567093838469,0.0519278653272,0.0619028196659,2151.94506033,122.035478444,0.00165726023912,9.39822070344e-05,2152,122,False
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,10.4,10.8,10.6,0.0593855025267,0.0530827240716,0.0663852547814,1263.96919732,75.0614459614,0.000973336596733,5.78020829246e-05,1264,75,False
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,10.8,11.2,11,0.0753531261557,0.0642958765555,0.0881385628011,490.987229198,36.9974226226,0.000378142628823,2.84942292145e-05,491,37,False
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,11.2,11.6,11.4,0.114675212205,0.0801472411468,0.161729350718,60.9991300761,6.9950881858,4.69921690232e-05,5.38883695471e-06,61,7,False
0.1,0.1,Output18,thin_disk_dominated,0.01,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,thin_disk_dominated,0.01,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,10,10.4,10.2,0.0706674322455,0.0653414517438,0.0763923503888,2151.94506033,152.072431747,0.00165726023912,0.000117114325661,2152,152,False
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,10.4,10.8,10.6,0.0823368809117,0.0749339244107,0.0904004703733,1263.96919732,104.071281276,0.000973336596733,8.01414994523e-05,1264,104,False
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,10.8,11.2,11,0.130375962273,0.115934992601,0.146320945458,490.987229198,64.0129324704,0.000378142628823,4.93007091092e-05,491,64,False
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,11.2,11.6,11.4,0.278739686895,0.225313490314,0.339350940713,60.9991300761,17.0028784183,4.69921690232e-05,1.309858248e-05,61,17,False
0.1,0.1,Output18,thin_disk_dominated,0.001,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,thin_disk_dominated,0.001,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,10,10.4,10.2,0.00714699869406,0.00597880985198,0.00854233590012,4340.8882819,31.0243228818,0.00334299004806,2.38923455078e-05,4341,31,False
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,10.4,10.8,10.6,0.00866267480137,0.00701157407469,0.0107005188954,2541.93685785,22.0199723652,0.00195751431059,1.69573098917e-05,2542,22,False
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,10.8,11.2,11,0.0101373686779,0.00742234479528,0.013844815749,987.974147315,10.0154581755,0.000760874828084,7.71326864999e-06,988,10,False
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,11.2,11.6,11.4,0.0147894605359,0.00761133475744,0.0291654602406,134.997794,1.9965445468,0.000104005480268,1.53818494594e-06,135,2,False
0.05,0.05,pooled_selected_outputs,inclusive,0.1,star_forming,11.6,12,11.8,0,0.00131271404374,0.0630571020649,14.9999893706,0,1.15527875603e-05,0,15,0,True
