target_redshift,redshift,output_name,node_index,merger_tree_index,is_central_galaxy,weight,stellar_mass_msun,log10_stellar_mass_msun,sfr_raw_msun_per_gyr,sfr_msun_per_year,log10_ssfr_per_year,black_hole_mass_msun,mdot_rest_msun_per_gyr,mdot_rest_g_per_s,radiative_efficiency_catalog,radiative_efficiency_used,rest_mass_power_erg_s,eddington_luminosity_erg_s,bolometric_luminosity_catalog_erg_s,bolometric_luminosity_erg_s,eddington_ratio_catalog,eddington_ratio,accretion_rate_eddington_paper,accretion_rate_eddington_galacticus,fraction_adaf,valid_accreting_black_hole,power_jet_galacticus,power_jet_erg_s,hbeta_agn_intrinsic_erg_s,velocity_dispersion_km_s,bolometric_luminosity_hbeta_erg_s,black_hole_mass_sigma_msun,lambda_raw,lambda_hbeta_true_bh,lambda_raw_sigma_bh,lambda_mock_observed,valid_sigma_sample,population
0.0,0.0,Output19,8497,17371,False,7.71130095699942e-07,33345299907.755543,10.523034627818477,97439676.17811973,0.09743967617811973,-11.534298795820824,3448244.05405417,0.03516927348168544,2216507366157291.5,1.2009006068795708e-07,1.2009006068795708e-07,1.9920974740421693e+36,4.7585767945947544e+44,2.392311065540501e+29,2.392311065540501e+29,5.027366729182381e-16,5.027366729182381e-16,4.186330409346307e-09,4.59294897242124e-09,1.0,True,6321713334.815242,3.9841949480843375e+36,3.6842429809155297e+25,99.95360558925925,1.8590494947804478e+26,14947937.19823126,5.027366729182381e-16,3.906734250652703e-19,1.1597310854038223e-16,9.01219544337996e-20,True,quiescent
0.0,0.0,Output19,8080,17371,False,7.71130095699942e-07,13273502492.757618,10.122985535718318,104825368.64598143,0.10482536864598144,-11.102519137329248,973669.6355417917,237.96536507071932,1.49975229043111e+19,0.003083700685840762,0.003083700685840762,1.3479101378473636e+40,1.3436640970476724e+44,4.1565514165316315e+37,4.1565514165316315e+37,3.0934453228783113e-07,3.0934453228783113e-07,0.00010031600463307911,0.00011005970512223625,1.0,True,42774520843461.27,2.695820275694727e+40,6.564019616341214e+33,96.19179187310432,1.0121862815676092e+36,12626276.18140589,3.0934453228783113e-07,7.533030642045185e-09,2.3854965128443834e-08,5.809062857793907e-10,True,star_forming
0.0,0.0,Output19,1,17371,True,7.71130095699942e-07,468746420127.46533,11.670937963989482,93702.95696669254,9.370295696669254e-05,-15.699184667935697,37879646.37243082,65.35180807321241,4.1187306317659817e+18,1.7902778563555652e-05,1.7902778563555652e-05,3.7017304851216406e+39,5.227391199395452e+45,6.627126117709617e+34,6.627126117709617e+34,1.2677693068917522e-11,1.2677693068917522e-11,7.081410868101369e-07,7.769228796973401e-07,1.0,True,11747055189122.842,7.40346097024328e+39,9.695198266229682e+30,213.71365104890376,4.625267977802693e+32,423379650.200532,1.2677693068917522e-11,8.848138203885726e-14,1.134269278273898e-12,7.916401887970697e-15,True,quiescent
0.0,0.0,Output19,14838,17370,False,7.690330015210334e-07,13055229871.330952,10.115784523111984,289041674.39231145,0.28904167439231143,-10.654824058716025,693183.2853818826,0.05129353243191715,3232722237801647.5,9.98429641155512e-07,9.98429641155512e-07,2.9054258526419046e+36,9.56592933826998e+43,2.9008632914572043e+30,2.9008632914572043e+30,3.032495002709096e-14,3.032495002709096e-14,3.037264598033668e-08,3.332274319142534e-08,1.0,True,9220065581.778088,5.810851705283808e+36,4.7062858668983074e+26,86.64118266900684,3.756301104312189e+27,7969943.731886909,3.032495002709096e-14,3.926749792395524e-17,2.63750274731784e-15,3.415277966235933e-18,True,star_forming
0.0,0.0,Output19,12472,17370,False,7.690330015210334e-07,78132732121.66618,10.892833010852746,140230726.62881258,0.14023072662881259,-11.745989826442823,8031811.520326321,0.016257924132305215,1024638982560919.5,2.219817933187743e-08,2.219817933187743e-08,9.208995919122502e+35,1.1083899898050322e+45,2.044229428792087e+28,2.044229428792087e+28,1.8443232504758284e-17,1.8443232504758284e-17,8.308443782266909e-10,9.115443503213866e-10,1.0,True,2922378701.8839183,1.8417991838245002e+36,3.2011386652664434e+24,130.2959112046088,1.0405412337575114e+25,47991407.108598135,1.8443232504758284e-17,9.387862064150764e-21,3.0866477194254847e-18,1.571146653555228e-21,True,quiescent
0.0,0.0,Output19,12194,17370,False,7.690330015210334e-07,11519834409.943974,10.06144623643403,209429969.49627876,0.20942996949627876,-10.740407406963472,1005194.9145731664,259.63280953779645,1.6363091354057163e+19,0.0031800259721378797,0.0031800259721378797,1.470641309460252e+40,1.3871689821109695e+44,4.676677559782463e+37,4.676677559782463e+37,3.3713827371381795e-07,3.3713827371381795e-07,0.00010601745918671392,0.00011631494235218828,1.0,True,46669266428416.87,2.941282618920504e+40,7.455941291148271e+33,84.58989159276555,1.176394339209779e+36,7172478.910865287,3.3713827371381795e-07,8.480540975040855e-09,4.7248612712089856e-08,1.188514705568095e-09,True,star_forming
0.0,0.0,Output19,11788,17370,False,7.690330015210334e-07,61136340992.814964,10.786299442663179,292613014.0843926,0.2926130140843926,-11.32000580501828,6545835.6090876,549.2136373662767,3.4613625824551793e+19,0.0009493593193669311,0.0009493593193669311,3.1109175464674374e+40,9.033253140540888e+44,2.9533785645209695e+37,2.9533785645209695e+37,3.2694517894847e-08,3.2694517894847e-08,3.4438507346879946e-05,3.778352195455886e-05,1.0,True,98721720163165.12,6.221835092934873e+40,4.6481765123811847e+33,117.1967475344538,6.735866667274765e+35,30109010.26141019,3.2694517894847e-08,7.45674516420276e-10,7.107936713958851e-09,1.62113027296315e-10,True,star_forming
0.0,0.0,Output19,11139,17370,False,7.690330015210334e-07,39431453182.978905,10.595842782594895,614134253.6990556,0.6141342536990555,-10.807579461507121,1889030.57707052,499.60642469935414,3.1487182159230566e+19,0.003149958217213651,0.003149958217213651,2.8299268029438003e+40,2.6068621963573174e+44,8.914151187045981e+37,8.914151187045981e+37,3.419494593731159e-07,3.419494593731159e-07,0.00010855682386656958,0.00011910095569955973,1.0,True,89804772305746.08,5.659853605887601e+40,1.3990865978867413e+34,138.03953525704964,2.472274126433801e+36,61870463.328821264,3.419494593731159e-07,9.483716208276823e-09,1.0440409685240609e-08,2.8955706710133544e-10,True,star_forming
0.0,0.0,Output19,10413,17370,False,7.690330015210334e-07,88773119855.62375,10.94828148305786,1195851713.1573677,1.1958517131573676,-10.870604153029358,6400704.034161123,64.74975498793026,4.08078685396686e+18,0.00011744481611226477,0.00011744481611226477,3.667628318323841e+39,8.83297156714235e+44,4.307439334136784e+35,4.307439334136784e+35,4.876546133308034e-10,4.876546133308034e-10,4.1522021105185045e-06,4.555505789560736e-06,1.0,True,11638835523468.48,7.335256636647681e+39,6.57411475655378e+31,152.2107286377289,4.42637282891163e+33,95110219.69070552,4.876546133308034e-10,5.011193339936963e-12,3.2818059520566783e-11,3.3724204960521564e-13,True,star_forming
0.0,0.0,Output19,10674,17370,False,7.690330015210334e-07,47664977557.322266,10.6781993928741,502912838.85495615,0.5029128388549562,-10.976706670013785,4949657.217752671,0.18876796825314643,1.1896907462291804e+16,4.391892037129908e-07,4.391892037129908e-07,1.069240719268745e+37,6.8305269604986855e+44,4.6959898007314565e+30,4.6959898007314565e+30,6.8750036825688924e-15,6.8750036825688924e-15,1.5653854021105883e-08,1.7174313948118844e-08,1.0,True,33931237809.428493,2.1384814385374894e+37,7.19319311145709e+26,116.43495016062406,6.196802134779634e+27,29257338.080814734,6.8750036825688924e-15,9.072216785931865e-18,1.1630898035053127e-15,1.5348068635454664e-18,True,star_forming
