definition,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
hbeta_true_bh,quiescent,10.0,10.4,10.2,0.0,0.00016941430271440075,0.00836654729650056,117.99863362692153,0.0,9.089327390600248e-05,0.0,118,0,True
hbeta_true_bh,quiescent,10.4,10.8,10.600000000000001,0.0,0.00034388785150375604,0.016911173394333037,57.998990852652135,0.0,4.467716808088744e-05,0.0,58,0,True
hbeta_true_bh,quiescent,10.8,11.2,11.0,0.0,0.00018506417442440952,0.009135946089474824,107.99809461710709,0.0,8.317155691802327e-05,0.0,108,0,True
hbeta_true_bh,quiescent,11.2,11.6,11.399999999999999,0.0,0.00013072491498748793,0.006461934809645167,152.99864243864093,0.0,0.00011781900854329803,0.0,153,0,True
hbeta_true_bh,quiescent,11.6,12.0,11.8,0.0,0.000621021467310926,0.030335016633337156,31.99996558189834,0.0,2.465230461752983e-05,0.0,32,0,True
raw_sigma_bh,star_forming,10.0,10.4,10.2,0.05186677939228195,0.04860316077192945,0.0553368992725236,4339.888345372472,225.09603139656954,0.0033422260660455265,0.0001733505020467177,4340,225,False
raw_sigma_bh,star_forming,10.4,10.8,10.600000000000001,0.061370479942713885,0.05678144917654408,0.06630457045239516,2541.936857854561,155.99988495060848,0.001957514310589056,0.00012013359273558105,2542,156,False
raw_sigma_bh,star_forming,10.8,11.2,11.0,0.09008542619435153,0.08138976934094494,0.0996104888732713,987.9741473146629,89.00207212984245,0.0007608748280843194,6.854373316852986e-05,988,89,False
raw_sigma_bh,star_forming,11.2,11.6,11.399999999999999,0.18528924200972233,0.15424029491123734,0.2209812550994395,134.9977939999028,25.01363892322663,0.00010400548026795914,1.927109660370728e-05,135,25,False
raw_sigma_bh,star_forming,11.6,12.0,11.8,0.0,0.0013127140437430838,0.06305710206491506,14.999989370617946,0.0,1.1552787560258798e-05,0.0,15,0,True
raw_sigma_bh,quiescent,10.0,10.4,10.2,0.0,0.00016941430271440075,0.00836654729650056,117.99863362692153,0.0,9.089327390600248e-05,0.0,118,0,True
raw_sigma_bh,quiescent,10.4,10.8,10.600000000000001,0.0,0.00034388785150375604,0.016911173394333037,57.998990852652135,0.0,4.467716808088744e-05,0.0,58,0,True
raw_sigma_bh,quiescent,10.8,11.2,11.0,0.0,0.00018506417442440952,0.009135946089474824,107.99809461710709,0.0,8.317155691802327e-05,0.0,108,0,True
raw_sigma_bh,quiescent,11.2,11.6,11.399999999999999,0.0,0.00013072491498748793,0.006461934809645167,152.99864243864093,0.0,0.00011781900854329803,0.0,153,0,True
raw_sigma_bh,quiescent,11.6,12.0,11.8,0.0,0.000621021467310926,0.030335016633337156,31.99996558189834,0.0,2.465230461752983e-05,0.0,32,0,True
mock_observed,star_forming,10.0,10.4,10.2,0.03018330416350147,0.027693248597162577,0.03288986298404831,4339.888345372472,130.99216996401245,0.0033422260660455265,0.00010087942593463508,4340,131,False
mock_observed,star_forming,10.4,10.8,10.600000000000001,0.028734720366184015,0.025603774875667423,0.0322364390434509,2541.936857854561,73.04184479894725,0.001957514310589056,5.6248626327580004e-05,2542,73,False
mock_observed,star_forming,10.8,11.2,11.0,0.05162515850936712,0.0450330276104411,0.059124624955296856,987.9741473146629,51.00432195827629,0.0007608748280843194,3.928028360564045e-05,988,51,False
mock_observed,star_forming,11.2,11.6,11.399999999999999,0.051914022607793375,0.03600682525913289,0.0744412556209883,134.9977939999028,7.008278529713187,0.00010400548026795914,5.3993428539652386e-06,135,7,False
mock_observed,star_forming,11.6,12.0,11.8,0.0,0.0013127140437430838,0.06305710206491506,14.999989370617946,0.0,1.1552787560258798e-05,0.0,15,0,True
