observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,prediction_plot,prediction_sigma_plot
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,2,10.25,0.3799999999999999,0.009999999999999998,0.4858978105815024,0.05311600939202795
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,3,10.75,0.6699999999999999,0.009999999999999998,0.7041278808362854,0.06356420789709663
size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,4,11.25,0.7599999999999998,0.009999999999999998,0.7743857137345227,0.0843947624638609
bh_velocity_dispersion,blackHoleVelocityDispersionRelation,0,2.021434147130726,6.793085495111557,0.28169745688136205,6.854129708592397,0.3462290210059561
bh_velocity_dispersion,blackHoleVelocityDispersionRelation,1,2.139787317713826,7.466804624532433,0.44538517586928933,7.243158876428629,0.24634358885500196
bh_velocity_dispersion,blackHoleVelocityDispersionRelation,2,2.2278702460279742,7.81404384999729,0.6240105971179565,7.555983429098206,0.2099597840400657
bh_velocity_dispersion,blackHoleVelocityDispersionRelation,3,2.3540709563143647,8.542221571070497,0.4088441595048958,7.904088167246116,0.19483664471422743
bh_velocity_dispersion,blackHoleVelocityDispersionRelation,4,2.4834370901805296,9.386854549173783,0.4134140396371941,8.181981450332469,0.2647198179441202
mzr_blanc2019,massMetallicityBlanc2019,0,8.7,8.37,0.0050000000000000044,8.244982067606552,0.10419358042686232
mzr_blanc2019,massMetallicityBlanc2019,1,8.75,8.37,0.0050000000000000044,8.25979260673648,0.10190074810004919
mzr_blanc2019,massMetallicityBlanc2019,2,8.8,8.37,0.0050000000000000044,8.274641462456524,0.09942973041720736
mzr_blanc2019,massMetallicityBlanc2019,3,8.85,8.38,0.0050000000000000044,8.28955048866113,0.0968247140444152
mzr_blanc2019,massMetallicityBlanc2019,4,8.9,8.37,0.0,8.304481891404377,0.09409455847141743
mzr_blanc2019,massMetallicityBlanc2019,5,8.95,8.4,0.0050000000000000044,8.319417255994226,0.09124308630030037
