observable_key,observable,sample_label,target_error_mode,bin_index,x_plot,target_log10_phi,target_log10_phi_std,prediction_log10_phi,prediction_log10_phi_std
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,0,41.7,-2.13,0.1000000000000001,-2.271599223685908,0.263444230386697
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,1,41.8,-2.25,0.08999999999999987,-2.3761794686108884,0.2920951842540723
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,2,41.9,-2.34,0.060000000000000026,-2.474451561155081,0.31550996453420116
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,3,42.0,-2.4699999999999998,0.04999999999999988,-2.5760877369921786,0.34641903848705763
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,4,42.1,-2.62,0.049999999999999795,-2.7979947403805534,0.3672075462408962
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,5,42.2,-2.73,0.04000000000000003,-3.0999937640708763,0.3874926156050516
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,6,42.3,-2.91,0.0800000000000001,-3.3730605441522306,0.4000017367143636
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,7,42.4,-3.18,0.10999999999999996,-3.5321877374830812,0.4058157097760521
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,8,42.5,-3.55,0.18000000000000013,-3.5734447477938134,0.416451888174163
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,9,42.6,-3.81,0.2600000000000003,-3.6177393056446143,0.41128408518027654
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,10,42.7,-4.22,0.3799999999999999,-3.6441004927644327,0.40543975647505825
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,11,42.8,-4.55,0.5499999999999999,-3.662424232950557,0.3945403985558527
halpha_sobral_z3,halpha_sobral,z3,sobral_log_table,12,43.0,-4.86,0.5499999999999998,-3.8356203915405342,0.37666326485733265
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,0,41.6,-1.9300000000000002,0.18999999999999997,-2.0153788930809644,0.24118811957066225
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,1,41.75,-2.07,0.15999999999999998,-2.157800508212804,0.26604345936818985
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,2,41.9,-2.19,0.06999999999999983,-2.2168910311539007,0.29761390996413967
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,3,42.0,-2.31,0.04999999999999988,-2.2560470164895525,0.3286436735295306
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,4,42.1,-2.41,0.049999999999999795,-2.3127692647288005,0.35919520219248813
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,5,42.2,-2.5,0.04000000000000003,-2.448232260495958,0.37924551565934284
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,6,42.3,-2.59,0.049999999999999795,-2.6770608960973616,0.39441709942772657
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,7,42.4,-2.73,0.06000000000000011,-3.0008965642014522,0.4086234916016558
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,8,42.5,-2.88,0.14000000000000012,-3.306870028546721,0.4140618538831944
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,9,42.6,-3.09,0.16999999999999987,-3.457565263278084,0.41279053796615756
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,10,42.7,-3.33,0.2200000000000001,-3.5184483289472204,0.4022843029174283
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,11,42.8,-3.67,0.31000000000000005,-3.5296729061474785,0.39438064804908385
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,12,42.9,-4.01,0.5099999999999998,-3.551917166534102,0.38106530811354355
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,13,43.0,-4.22,0.6800000000000002,-3.568124721375088,0.3714266440192176
halpha_sobral_z4,halpha_sobral,z4,sobral_log_table,14,43.2,-4.63,0.4100000000000001,-3.798702394485118,0.36488954402631557
