evaluation_id,dust_draw_index,dust_case,scatter_mode,delta_0,delta_z,delta_M,delta_Mz,attenuation_scatter,z_pivot,observable,observable_label,sample_label,output_name,redshift,bin_index,log10_luminosity_min,log10_luminosity_center,log10_luminosity_max,phi_mpc3_dex,phi_mpc3_dex_shot_noise_std_conservative,phi_mpc3_dex_shot_noise_std_smoothed_expectation,log10_phi_shot_noise_std_conservative,log10_phi_shot_noise_std_smoothed_expectation,dn_dlnL_mpc3,dn_dlnL_mpc3_shot_noise_std_conservative,dn_dlnL_mpc3_shot_noise_std_smoothed_expectation,log10_dn_dlnL_shot_noise_std_conservative,log10_dn_dlnL_shot_noise_std_smoothed_expectation,z_min,z_max,target_redshift
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z2,Output13,0.84,8,42.425,42.5,42.575,0.0002631914307369708,7.385119392666019e-05,4.9392304060681165e-05,0.12186250104916548,0.08150267294788556,0.0001143025860532883,3.207316600431546e-05,2.1450805102041407e-05,0.12186250104916545,0.08150267294788556,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,0,41.650000000000006,41.7,41.75,0.0034975132821964284,0.00032972127007871785,0.0002128807809630887,0.040942268579861454,0.026433909185175145,0.0015189507188412394,0.00014319612816131894,9.245294847552422e-05,0.04094226857986146,0.026433909185175145,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,1,41.75,41.800000000000004,41.85,0.002472277935186779,0.0002772144881886898,0.0001720555549249488,0.04869708248028617,0.03022426282304779,0.0010736966649827833,0.00012039272252398217,7.472277808470712e-05,0.048697082480286175,0.03022426282304779,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,2,41.85,41.9,41.95,0.0022747882995358664,0.00026591189850793285,0.00017116061502983547,0.05076695278324379,0.032677375139388135,0.0009879280059865083,0.00011548407019441278,7.433411062662433e-05,0.05076695278324379,0.032677375139388135,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,3,41.95,42.0,42.05,0.0018826432336198262,0.0002419085908880664,0.0001518698306898067,0.055804288497973496,0.03503384404348759,0.000817621567753585,0.0001050595661476785,6.595622943616416e-05,0.0558042884979735,0.0350338440434876,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,4,42.05,42.1,42.150000000000006,0.00159377114087219,0.00022257698598555142,0.00014151884667262357,0.06065108994211246,0.038563161685559434,0.0006921660118974422,9.666395681218239e-05,6.146085419523277e-05,0.06065108994211248,0.038563161685559434,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,5,42.150000000000006,42.2,42.25,0.0012334337804675154,0.00019580563998057118,0.00012431064013095866,0.0689435544215958,0.04377002308974635,0.0005356734846501087,8.50373089690968e-05,5.398742505073628e-05,0.06894355442159582,0.043770023089746354,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,6,42.25,42.300000000000004,42.35,0.0008368303519040968,0.00016128203318777458,0.00010354337489537513,0.08370142990656589,0.053736478669041646,0.00036343080412110557,7.004389704358762e-05,4.4968316354701116e-05,0.08370142990656589,0.05373647866904165,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,7,42.35,42.4,42.45,0.00048305097642905675,0.00012253601711339853,7.382795591210661e-05,0.11016790911003796,0.06637617027471923,0.0002097863735411171,5.321671606675142e-05,3.206307386282446e-05,0.11016790911003797,0.06637617027471925,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,8,42.45,42.5,42.55,0.0002784539156250306,9.303448170241482e-05,4.464431752006078e-05,0.1451025098332494,0.06963012426590628,0.00012093099902030445,4.04043620300878e-05,1.9388780747299065e-05,0.1451025098332494,0.06963012426590628,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,9,42.55,42.6,42.650000000000006,0.00035865149578043096,0.00010558533472572567,6.649902567851105e-05,0.1278542785427648,0.08052429794354081,0.00015576036554378856,4.585512824129045e-05,2.8880159904119993e-05,0.1278542785427648,0.08052429794354081,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,10,42.650000000000006,42.7,42.75,0.00030382011303429904,9.717969648634302e-05,5.649374266974916e-05,0.1389131401326515,0.08075476129114774,0.0001319473985820183,4.22046059370516e-05,2.4534920703534344e-05,0.1389131401326515,0.08075476129114774,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,11,42.75,42.800000000000004,42.900000000000006,0.0002604056278232215,7.345930772115662e-05,5.089475933496019e-05,0.12251260563918709,0.08488032045133924,0.00011309272722017699,3.1902971987731256e-05,2.2103313136967224e-05,0.12251260563918707,0.08488032045133925,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z3,Output10,1.47,12,42.900000000000006,43.0,43.099999999999994,0.00017063655367222804,5.14977572309886e-05,3.9528158672988274e-05,0.13106917195932374,0.10060482834440276,7.41065136708367e-05,2.2365191795811634e-05,1.7166861191474972e-05,0.13106917195932374,0.10060482834440276,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,0,41.525000000000006,41.6,41.675,0.005650056131908549,0.0003421748058738792,0.0002593033065396557,0.02630144313046754,0.01993148254465211,0.002453788200531514,0.0001486046300373421,0.00011261399516943983,0.026301443130467544,0.01993148254465211,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,1,41.675,41.75,41.825,0.004276446325934588,0.0002976892562838797,0.0002212702890347677,0.03023183070062678,0.022471102923508804,0.0018572370415088266,0.0001292848013259719,9.609646553693722e-05,0.030231830700626787,0.022471102923508807,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,2,41.825,41.9,41.95,0.003663975080243682,0.0003018481559177509,0.00021222476486949527,0.035778351549004814,0.025155205012995615,0.0015912441591808553,0.00013109098848775158,9.216804430603688e-05,0.035778351549004814,0.02515520501299562,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,3,41.95,42.0,42.05,0.003134943808823721,0.0003121635264972182,0.00020125847421603713,0.0432450803831376,0.027881024387830626,0.0013614887972489048,0.00013557089700920138,8.740544478829281e-05,0.043245080383137596,0.027881024387830626,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,4,42.05,42.1,42.150000000000006,0.0027379259012237198,0.0002917280056136736,0.00019115213805013593,0.0462743944231772,0.03032087856069384,0.001189066110761449,0.00012669586305465928,8.301631875918263e-05,0.0462743944231772,0.030320878560693838,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,5,42.150000000000006,42.2,42.25,0.00199312534959295,0.0002489055521643412,0.00015985649802865076,0.054235579233454616,0.03483212684259898,0.0008656033410697078,0.0001080983078200554,6.942479499022108e-05,0.05423557923345464,0.03483212684259899,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,6,42.25,42.300000000000004,42.35,0.0012961584171245193,0.00020072262136629158,0.0001261525884742915,0.06725468561622716,0.04226904082738618,0.0005629144482296321,8.717272685253619e-05,5.478737305219656e-05,0.06725468561622716,0.042269040827386174,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,7,42.35,42.4,42.45,0.0007691052375143991,0.00015461803949901056,9.361781643922201e-05,0.08730893781731937,0.05286363829582485,0.00033401816065539334,6.714976135711932e-05,4.0657701087385656e-05,0.08730893781731938,0.052863638295824855,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,8,42.45,42.5,42.55,0.0006182736631248476,0.00013863013666372628,8.466473247482609e-05,0.09737808185821523,0.059471118242031905,0.0002685128402012313,6.020630337855e-05,3.676942612563201e-05,0.09737808185821525,0.05947111824203192,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,9,42.55,42.6,42.650000000000006,0.0006859434116262873,0.00014601969010406016,9.929846261573779e-05,0.09245011262819151,0.06286928869722319,0.0002979014385671874,6.34155456614162e-05,4.312477437549126e-05,0.09245011262819153,0.06286928869722319,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,10,42.650000000000006,42.7,42.75,0.000493767277669625,0.00012388776856277596,7.325717319407501e-05,0.10896585637681797,0.06443356519729691,0.00021444040403630885,5.380377426212075e-05,3.181518607801759e-05,0.10896585637681795,0.06443356519729691,,,
